cdigo,cd_pai,nome,CJF,CNJ,JE1G,JE2G,JEFP,JEJE,JETR,JF1G,JF2G,JFJE,JFTNU,JFTR,JFTRU,JME1,JMETJM,JMU1,JMUSTM,JT1G,JT2G,JTTST,STF,STJ,TEU
128,62,Recuperação Extrajudicial,,,X,,,,,,,,,,,,,,,,,,,,
129,62,Recuperação Judicial,,,X,,,,,,,,,,,,,,,,,,,,
134,62,Registro Torrens,,,X,,,,,,,,,,,,,,,,,,,,
135,62,Relatório Falimentar,,,X,,,,,,,,,,,,,,,,,,,,
136,62,Remição do Imóvel Hipotecado,,,X,,,,,X,,,,,,,,,,,,,,,
137,62,Renovatória de Locação,,,X,,,,,X,,,,,,,,,,,,,,,
138,62,Restituição de Coisa ou Dinheiro na Falência do Devedor Empresário,,,X,,,,,,,,,,,,,,,,,,,,
140,62,Revisional de Aluguel,,,X,,,,,X,,,,,,,,,,,,,,,
141,62,Separação Litigiosa,,,X,,,,,,,,,,,,,,,,,,,,
142,62,Sonegados,,,X,,,,,,,,,,,,,,,,,,,,
143,62,Suprimento de Idade e/ou Consentimento,,,X,,,,,,,,,,,,,,,,,,,,
144,62,Suspensão de Liminar ou Antecipação de Tutela,,,,X,,,,,X,,,,,,X,,,,X,,,,
145,62,Suspensão de Execução de Sentença,,,,X,,,,,X,,,,,,X,,,,,,,,
150,1106,Procedimento de Liquidação,,,X,X,,,,X,X,,,,,X,X,,,,,,,,
151,150,Liquidação por Arbitramento,,,X,X,,,,X,X,,,,,X,X,,,,,,,,
152,150,Liquidação de Sentença pelo Procedimento Comum,,,X,X,,,,X,X,,,,,X,X,,,,,,,,
153,150,Liquidação Provisória por Arbitramento,,,X,X,,,,X,X,,,,,X,X,,,,,,,,
154,150,Liquidação Provisória de Sentença pelo Procedimento Comum,,,X,X,,,,X,X,,,,,X,X,,,,,,,,
155,1106,Procedimento de Cumprimento de Sentença/Decisão,,,X,X,X,X,,X,X,X,,,,X,X,,,X,X,X,,,
156,155,Cumprimento de sentença,,,X,X,X,X,,X,X,X,,,,X,X,,,X,X,X,,,
157,155,Cumprimento Provisório de Sentença,,,X,X,X,X,,X,X,,,,,X,X,,,X,X,X,,,
158,2,Processo de Execução,,,X,X,X,X,X,X,X,X,,,,X,X,,,X,X,X,,,
159,158,Execução de Título Extrajudicial,,,X,X,X,X,,X,X,X,,,,,,,,,,,,,
165,158,Insolvência Civil,,,X,,,,,,,,,,,,,,,,,,,,
166,165,Insolvência Requerida pelo Credor,,,X,,,,,,,,,,,,,,,,,,,,
167,165,Insolvência Requerida pelo Devedor ou pelo Espólio,,,X,,,,,,,,,,,,,,,,,,,,
169,158,Embargos,,,X,X,,X,,X,X,,,,,X,X,,,X,,,,,
170,169,Embargos à Adjudicação,,,X,X,,,,X,X,,,,,,,,,X,,,,,
171,169,Embargos à Arrematação,,,X,X,,,,X,X,,,,,,,,,X,,,,,
172,169,Embargos à Execução,,,X,X,,,,X,X,,,,,X,X,,,X,,,,,
173,169,Embargos de Retenção por Benfeitorias,,,X,,,X,,X,,,,,,,,,,,,,,,
175,2,Processo Cautelar,,,X,X,,X,X,X,X,X,,,,X,X,,,X,X,X,,,
176,175,Alimentos - Provisionais,,,X,,,,,X,X,,,,,,,,,,,,,,
177,175,Apreensão de Títulos,,,X,,,,,X,,,,,,,,,,,,,,,
178,175,Arresto ,,,X,X,,,,X,X,,,,,X,X,,,X,X,X,,,
179,175,Arrolamento de Bens,,,X,X,,,,X,,,,,,,,,,,,,,,
180,175,Atentado,,,X,X,,,,X,X,,,,,,,,,X,X,X,,,
181,175,Busca e Apreensão,,,X,X,,,,X,X,,,,,X,X,,,X,X,X,,,
182,175,Caução,,,X,X,,,,X,,,,,,,,,,X,X,X,,,
183,175,Cautelar Inominada,,,X,X,,,X,X,X,,,,,X,X,,,X,X,X,,,
