cdigo,cd_pai,nome,CJF,CNJ,FTR,JE1G,JE2G,JEFP,JEJE,JETR,JF1G,JF2G,JFJE,JFTNU,JFTRU,JME,JME1,JMU,JMU1,JT1G,JT2G,JTTST,STF,STJ,TEU
12451,12450,Procedência,,,,X,X,X,X,X,,,,,,X,X,,,,,,X,X,
12452,12450,procedência parcial,,,,X,X,X,X,X,,,,,,X,X,,,,,,X,X,
12453,12450,improcedência,,,,X,X,X,X,X,,,,,,X,X,,,,,,X,X,
12454,206,Pedido de Uniformização de Interpretação de Lei,,,X,,,,,,,,,X,X,,,,,,,,,X,
12455,3,Indeferimento,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
12456,207,Recurso Ordinário,,,,,,,,,,,,,,,,X,,,,,,X,
12457,1013,Expedição de precatório/rpv,,X,,X,X,X,X,,X,X,X,,,X,X,,,X,X,X,X,X,
12458,218,Não conhecimento do habeas corpus,,,,X,X,,,,X,X,,,,X,X,,,X,X,X,X,X,
12459,218,Prejudicado,,X,,X,X,X,X,X,,,,,,X,X,,,,,,X,X,
12467,378,Desistência de pedido,,,,,,,,,,,,,,,,,,,,,X,X,
12472,1013,Devolução dos autos à origem ,,,,X,X,X,X,X,,,,,,X,X,X,X,,,,X,X,
12473,7,agravo em recurso especial ,,,,,,,,,,,,,,,,,,,,,,X,
12474,1013,Distribuição,,,,X,X,X,X,X,,,,,,X,X,X,X,,,,,X,
12475,210,Habeas Corpus de ofício,,X,,X,X,,,,X,X,,,,X,X,X,X,X,X,X,X,X,
12476,378,Medida Protetiva da Lei Maria da Penha Determinada por Autoridade Policial,,,,X,X,,,,,,,,,,,,,,,,X,X,
12477,3,Não-Homologação,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
12478,12477,Medida protetiva determinada por autoridade policia,,,,X,X,,X,X,,,,,,,,,,,,,,,
12479,157,Medida Protetiva da Lei Maria da Penha Determinada por Autoridade Policial,,,,X,X,X,,,,,,,,X,X,,,,,,,,
12522,14,Auxiliar da Justiça,,,X,X,X,X,X,X,X,X,X,X,X,,,,,X,X,X,X,X,X
12523,12522,Conciliador,,,X,X,X,X,X,X,X,X,X,X,X,,,,,X,X,X,X,X,X
12524,12522,Juiz Leigo,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,X
12525,12522,Mediador,,,X,X,X,X,X,X,X,X,X,X,X,,,,,X,X,X,,X,
12526,12525,Conciliação,,,,X,X,X,X,X,,,,,,,,,,,,,,,
12527,12525,Mediação,,,X,X,X,X,X,X,X,X,X,X,X,,,,,X,X,X,,X,
12528,12523,Conciliação,,,X,X,X,X,X,X,X,X,X,X,X,,,,,X,X,X,X,X,X
12529,12524,Decisão,,,,X,X,X,X,X,,,,,,,,,,,,,,,X
12531,12528,Frutífera,,,X,X,X,X,X,X,X,X,X,X,X,,,,,X,X,X,X,X,
12532,12528,Infrutífera,,,X,X,X,X,X,X,X,X,X,X,X,,,,,X,X,X,X,X,
12533,12530,Frutífera,,,,X,X,X,X,X,,,,,,,,,,,,,,,X
12534,12530,Infrutífera,,,,X,X,X,X,X,,,,,,,,,,,,,,,X
12535,12526,Frutífera,,,X,X,X,X,X,X,X,X,X,,,,,,,,,,,X,
12536,12526,Infrutífera,,,X,X,X,X,X,X,X,X,X,,,,,,,,,,,X,
12539,12527,Infrutífera,,,X,X,X,X,X,X,X,X,X,,,,,,,X,X,X,,X,
12540,12527,Frutífera,,,X,X,X,X,X,X,X,X,X,,,,,,,X,X,X,,X,
12548,11009,Expedição de alvará de levantamento,,X,X,X,X,,X,X,X,X,X,,,,,,,X,X,X,X,X,
12606,48,Remessa negociação consumidor.gov.br,,,X,X,X,,X,X,X,X,X,,,,,,,,,,,,
12607,48,Recebimento negociação consumidor.gov.br,,,X,X,X,,X,X,X,X,X,,,,,,,,,,,,
12608,12528,Parcial,,,X,X,X,X,X,X,X,X,X,X,X,,,,,X,X,X,X,X,X
12609,12530,Parcial,,,,X,X,X,X,X,,,,,,,,,,,,,,,X
12610,12526,Parcial,,,X,X,X,X,X,X,X,X,X,,,,,,,,,,,X,
12611,12527,Parcial,,,X,X,X,X,X,X,X,X,X,,,,,,,X,X,X,,X,
12614,48,Remessa para o CEJUSC ou Centros de Conciliação/Mediação,,,X,X,X,X,X,X,X,X,X,X,X,,,,,X,X,X,X,X,X
12615,385,Composição Civil,,,X,X,X,,X,X,X,X,X,,,,,,,,,,X,X,
12616,973,Composição Civil dos Danos,,,X,X,X,,X,X,X,X,,,,,,,,,,,X,X,
12617,456,Renúncia,,,,X,X,X,X,X,,,,,,,,,,X,X,X,X,X,X
12618,48,Remessa CEJUSC,,,X,X,X,X,X,X,X,X,X,X,X,,,,,X,X,X,X,X,
12619,48,Recebimento do CEJUSC ou Centros de Conciliação/Mediação,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,X,X,
12621,48,Recebimento no CEJUSC ou Centros de Conciliação/Mediação,,,X,X,X,X,X,X,X,X,X,X,X,,,,,X,X,X,X,X,
12622,48,Remessa para Câmara de Conciliação/Mediação,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,X,X,X
12623,48,Recebimento de Câmara de Conciliação/Mediação,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,X,X,X
12624,970,Audiência do art. 334 CPC,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,X,X,
12647,3,Mantida a Distribuição do Processo,,,,X,X,,X,X,,,,,,X,X,,,,,,X,X,
12649,385,Homologação do Pedido,,,,X,X,,X,X,,,,,,X,X,,,,,,X,X,
12650,385,Não Homologado o Pedido,,,,X,X,,X,X,,,,,,X,X,,,,,,X,X,
12733,378,Homologação do Acordo de Não Persecução Penal,,X,X,X,X,,X,X,X,X,X,,,X,X,X,X,,,,X,X,
12734,157,Revogação do Acordo de Não Persecução Penal,,,X,X,X,,X,X,X,X,X,,,X,X,X,X,,,,X,X,
12735,973,Cumprimento de ANPP,,,X,X,X,,X,X,X,X,X,,,X,X,X,X,,,,,X,
12736,3,Unificação de Processos de Execução,,,X,X,X,,X,X,X,X,X,,,X,X,X,X,,,,X,X,
12737,157,Revogação da Suspensão Condicional do Processo,,,X,X,X,,X,X,X,X,X,,,X,X,X,X,,,,X,X,
12738,385,Homologação de Transação Penal,,,,X,X,,X,X,X,X,X,,,X,X,X,X,,,,X,X,
12739,970,Admonitória,,,,X,X,,X,,X,X,X,,,X,X,X,X,,,,X,X,
12740,970,de Conciliação,,,X,X,X,X,X,X,X,X,X,,,X,X,,,X,X,X,X,X,
12741,970,de Acolhimento,,,,X,X,,,,,,,,,,,,,,,,X,X,
12742,970,de Custódia,,,,X,X,,X,,X,X,X,,,,X,X,X,,,,X,X,
12743,970,de Interrogatório,,,X,X,X,,X,X,X,X,X,,,X,X,X,X,,,,X,X,
12744,970,de Justificação,,,X,X,X,,X,X,X,X,X,,,X,X,,X,X,X,X,X,X,
12745,970,do art. 16 da Lei 11.340,,,,X,X,,,,,,,,,,,,,,,,X,X,
12746,970,em Execução,,,,X,X,,X,,X,X,X,,,X,X,,X,X,X,X,X,X,
12747,970,Inicial,,,,,,,,,,,,,,,,,,X,X,X,,,
12749,970,de Instrução,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
12750,970,de Instrução e Julgamento,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
12751,970,de Julgamento,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
12752,970,de Mediação,,,X,X,X,X,X,X,X,X,X,,,X,X,,,X,X,X,X,X,
12753,970,Preliminar,,,,X,X,X,X,,X,X,X,,,X,X,,,X,X,X,X,X,
12759,48,Realização de Procedimento Restaurativo,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,
12765,3,Envio para Juízo de Retratação ,,,X,,X,,,X,,X,,X,X,X,,X,,,X,X,,X,
12766,12765,Por Divergência de Entendimento com o STF,,,X,,X,,,X,,X,,X,X,X,,X,,,X,X,,X,
12767,12765,Por Divergência de Entendimento com STJ,,,X,,X,,,X,,X,,X,X,X,,,,,X,,,,
12768,3,Manutenção de Acórdão,,,X,,X,,,X,,X,,X,X,X,,X,,,X,X,,X,
12769,3,Desclassificação de Delito,,,,X,X,,,,X,X,,,,X,X,X,X,,,,X,X,
14091,48,Devolvidos os autos após Pedido de Vista,X,X,X,,X,,,X,,X,,X,X,X,,X,,,X,X,X,X,
14092,1,Voto,X,X,X,,X,,,X,,X,,X,X,X,,X,,,,,X,X,X
14093,14092,Voto do Relator,X,X,X,,X,,,X,,X,,X,X,X,,X,,,,,X,X,
14094,14092,Voto Divergente Vencedor,X,X,X,,X,,,X,,X,,X,X,X,,X,,,,,X,X,X
14095,14092,Outros Votos,X,X,X,,X,,,X,,X,,X,X,X,,X,,,,,X,X,
14096,970,Audiência Pública,,,,,,,,,,,,,,,,,,X,X,X,,,
14099,385,Homologação de Acordo em Execução ou em Cumprimento de Sentença,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
14231,3,Impugnação ao Cumprimento de Sentença,,,,X,X,X,X,,X,X,X,,,X,X,,,,,,X,X,
14232,14231,Acolhimento,,,,X,X,X,X,,X,X,X,,,X,X,,,,,,X,X,
14233,14231,Não-Acolhimento,,,,X,X,X,X,,X,X,X,,,X,X,,,,,,X,X,
14234,14231,Acolhimento em Parte,,,,X,X,X,X,,X,X,X,,,X,X,,,,,,X,X,
14235,14231,Rejeição,,,,X,X,X,X,,X,X,X,,,X,X,,,,,,X,X,
14680,214,Exequatur,,,,,,,,,,,,,,,,,,,,,,X,
14681,3,Descumprimento de Medida Protetiva da Lei Maria Penha,,,,X,X,,,,,,,,,X,X,X,X,,,,X,X,
14682,817,Medida Cautelar Diversa da Prisão,,,X,X,X,,X,X,X,X,X,,,X,X,X,X,,,,X,X,
14683,157,Medida Cautelar Diversa da Prisão,,,X,X,X,,X,X,X,X,X,,,X,X,X,X,,,,X,X,
14702,3,Incidente ou Cautelar - Procedimento Resolvido,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,X,X
14732,48,Conversão de Autos Físicos em Eletrônicos,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
14733,3,Prorrogação de Medida Protetiva,,,,X,X,,,,,,,,,X,X,X,X,,,,X,,
14736,48,Inclusão no Juízo 100% Digital,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
14737,48,Exclusão do Juízo 100% Digital,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
14738,48,Retificação de Classe Processual,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
14739,48,Evolução da Classe Processual,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
14776,3,Homologação em Parte,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
14848,456,Ausência de Requerimento Administrativo Prévio,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,X,X,
14901,48,Perícia,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
14903,14901,Determinada/Designada,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
14904,14901,Agendada,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
14905,14901,Realizada,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
14906,14901,Cancelada,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
14907,14901,Reagendada,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
14908,14901,Não Realizada,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
14961,12281,Erro ou Recusa na Comunicação,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
14968,25,Por Incidente de Assunção de Competência - IAC,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
14969,25,Por Grupo de Representativos,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
14970,25,Por Controvérsia,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,,X,X
14971,25,Por Ação de Controle Concentrado de Constitucionalidade,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
14972,25,Por Decisão do Presidente do TST - SIRDR,,,,,,,,,,,,,,,,,,X,X,X,,,
14973,25,Por Recurso de Revista Repetitivo,,,,,,,,,,,,,,,,,,X,X,X,,,
14974,48,Levantamento da Causa Suspensiva ou de Sobrestamento,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
14975,14974,Suspensão/Sobrestamento por Recurso Extraordinário com Repercussão Geral,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
14976,14974,Suspensão/Sobrestamento por Recurso Especial Repetitivo,,,X,X,X,X,X,X,X,X,X,X,X,,X,,,X,X,X,X,X,
14977,14974,Suspensão/Sobrestamento Determinada por Decisão do Presidente do STF - SIRDR,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
14978,14974,Suspensão/Sobrestamento Determinada por Decisão do Presidente do STJ - SIRDR,,,,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,,X,X
14979,14974,Suspensão/Sobrestamento Determinada por Incidente de Assunção de Competência - IAC,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
14980,14974,Suspensão/Sobrestamento Determinada por Grupo de Representativos,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
14981,14974,Suspensão/Sobrestamento Determinada por Controvérsia,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,,X,X
14982,14974,Suspensão/Sobrestamento Determinada por Ação de Controle Concentrado de Constitucionalidade - STF,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
14983,14974,Suspensão/Sobrestamento Determinada por Decisão do Presidente do TST - SIRDR,,,,,,,,,,,,,,,,,,X,X,X,,,
14984,14974,Suspensão/Sobrestamento Determinada por Recurso de Revista Repetitivo,,,,,,,,,,,,,,,,,,X,X,X,,,
14985,14974,Suspensão/Sobrestamento por Incidente de Resolução de Demandas Repetitivas,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
14997,861,Arquivamento Provisório - Aguardando Captura de Réu Condenado,,,,X,X,,X,,X,X,X,,,X,X,X,X,,,,X,X,
14998,861,Arquivamento Provisório - Adolescente Aguardando Apreensão,,,,X,,,,,,,,,,,,,,,,,,,
14999,48,Iniciada Tramitação Direta entre MP e Autoridade Policial,,,,X,X,,X,,X,X,X,,,X,X,X,X,,,,X,X,
15000,48,Finalizada Tramitação Direta entre MP e Autoridade Policial,,,,X,X,,X,,X,X,X,,,X,X,X,X,,,,X,X,
15009,11025,Por Impedimento ou Suspeição,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
15021,12198,Destaque para Julgamento Presencial,X,X,X,,X,,,X,,X,,X,X,X,,X,,,X,X,X,X,X
15025,157,Revogação da Transação Penal,,,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X
15032,108,Manutenção da Prisão Preventiva,,,,X,X,,,,X,X,,,,X,X,X,X,,,,X,X,
15045,970,Audiência de Apresentação de Adolescente,,,,X,,,,,,,,,,,,,,,,,,,
15049,970,Audiência Concentrada Protetiva,,,,X,,,,,,,,,,,,,,,,,,,
15050,970,Audiência Concentrada Infracional,,,,X,,,,,,,,,,,,,,,,,,,
15057,206,Admissão de Recurso de Embargos à SDI/TST,,,,,,,,,,,,,,,,,,,,X,,,
15058,206,Admissão de Recurso de Embargos à SDC/TST,,,,,,,,,,,,,,,,,,,,X,,,
15059,207,Não Admissão de Recurso de Embargos à SDI/TST,,,,,,,,,,,,,,,,,,,,X,,,
15060,207,Não Admissão de Recurso de Embargos à SDC/TST,,,,,,,,,,,,,,,,,,,,X,,,
15061,3,Impugnação aos Cálculos de Liquidação,,,,,,,,,,,,,,,,,,X,,,,,
15062,15061,Acolhimento,,,,,,,,,,,,,,,,,,X,,,,,
15063,15061,Acolhimento em Parte,,,,,,,,,,,,,,,,,,X,,,,,
15064,15061,Não Acolhimento,,,,,,,,,,,,,,,,,,X,,,,,
15065,15061,Não Admissão,,,,,,,,,,,,,,,,,,X,,,,,
15067,25,REsp Sobrestado por Possível Prejudicialidade de RE,,,,,,,,,,,,,,,,,,,,,,X,
15078,817,Substituição de Medida Socioeducativa,,,,X,,,,,,,,,,,,,,,,,,,
15079,817,Suspensão de Medida Socioeducativa,,,,X,,,,,,,,,,,,,,,,,,,
15080,1013,Reavaliação de Medida Socioeducativa,,,,X,,,,,,,,,,,,,,,,,,,
15081,1013,Busca e Apreensão de Adolescente,,,,X,,,,,,,,,,,,,,,,,,,
15082,3,Revogação de Internação de Adolescente,,,,X,,,,,,,,,,,,,,,,,,,
15083,15232,Manutenção de Internação Provisória,,,,X,,,,,,,,,,,,,,,,,,,
15084,3,Desinternação de Adolescente,,,,X,,,,,,,,,,,,,,,,,,,
15085,1013,Emenda à Inicial,,,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X,X,X,X,
15086,3,Deferimento em Parte,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
15101,12289,Conclusão,,,,,,,,,,,,,,,,,,X,X,X,,,
15102,48,Sessão Restaurativa,,,,X,,,X,,X,X,X,,,,,,,,,,,,
15103,888,Gratuidade da Justiça,,,X,X,X,X,X,X,X,X,X,,X,,,,,,,,X,X,
15162,3,Acolhimento de Embargos de Declaração,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
15163,3,Acolhimento em Parte de Embargos de Declaração,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
15164,3,Não Acolhimento de Embargos de Declaração,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
15165,385,Resolução Aprovada,X,X,,,,,,,,,,,,,,,,,,,,,
15166,385,Resolução Desaprovada,X,X,,,,,,,,,,,,,,,,,,,,,
15168,12289,"De Liquidação, Cumprimento de Sentença ou Execução por Nulidade da Fase de Conhecimento ",,,,X,X,X,X,,X,X,X,,,X,X,,,X,,,,,
15183,207,Pedido de Uniformização de Interpretação de Lei,,,X,,,,,,,,,X,X,,,,,,,,,X,
15185,1,Cooperação Judiciária,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
15186,48,Cooperação Judiciária,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
15188,970,Audiência de Depoimento Especial,,,,X,X,,X,,X,X,X,,,X,X,X,X,,,,X,X,
15200,1013,Manutenção da Medida Socioeducativa,,,,X,,,,,,,,,,,,,,,,,,,
15201,378,Homologação do Plano Individual de Atendimento (PIA),,,,X,,,,,,,,,,,,,,,,,,,
15202,1013,Determinação de Alteração ou Complementação do Plano Individual de Atendimento (PIA),,,,X,,,,,,,,,,,,,,,,,,,
15203,3,Manutenção de Sentença/Decisão Anterior - Infância e Juventude,,,,X,,,,,,,,,,,,,,,,,,,
15204,25,Não Localização do Adolescente,,,,X,,,,,,,,,,,,,,,,,,,
15205,3,Manutenção de Acolhimento Institucional/em Família Acolhedora,,,,X,,,,,,,,,,,,,,,,,,,
15206,3,Desacolhimento Institucional/de Família Acolhedora,,,,X,,,,,,,,,,,,,,,,,,,
15207,1008,Aproximação de Pretendente à Adoção,,,,X,,,,,,,,,,,,,,,,,,,
15208,157,Aproximação de Pretendente à Adoção,,,,X,,,,,,,,,,,,,,,,,,,
15209,1008,Busca Ativa para Adoção,,,,X,,,,,,,,,,,,,,,,,,,
15210,157,Busca Ativa para Adoção,,,,X,,,,,,,,,,,,,,,,,,,
15211,385,Procedência do Pedido com Aplicação de Medida Socioeducativa,,,,X,,,,,,,,,,,,,,,,,,,
15212,385,Procedência do Pedido sem Aplicação de Medida Socioeducativa,,,,X,,,,,,,,,,,,,,,,,,,
15213,385,Procedência em Parte do Pedido com Aplicação de Medida Socioeducativa,,,,X,,,,,,,,,,,,,,,,,,,
15214,385,Procedência em Parte do Pedido sem Aplicação de Medida Socioeducativa,,,,X,,,,,,,,,,,,,,,,,,,
15216,11009,Determinação de Citação,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
15223,3,Prejudicado o Pedido,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
15225,11009,Indicação de Recurso como Representativo de Controvérsia,,,,,,,,,,,,,,,,,,,X,X,,X,
15226,11009,Rejeição de Recurso Como Representativo de Controvérsia,,,,,,,,,,,,,,,,,,,,X,,X,
15227,11009,Reconsideração de Recurso como Representativo de Controvérsia,,,,,,,,,,,,,,,,,,,,X,,X,
15229,3,Indeferimento de Internação,,,,X,X,,,,,,,,,,,,,,,,,,
15230,15229,Provisória,,,,X,X,,,,,,,,,,,,,,,,,,
15231,15229,Sanção,,,,X,X,,,,,,,,,,,,,,,,,,
15232,3,Manutenção da Internação,,,,X,X,,,,,,,,,,,,,,,,,,
15233,15232,Sanção,,,,X,,,,,,,,,,,,,,,,,,,
15234,12425,Sem Reinício de Prazo,,,,X,X,,,,,,,,,,,,,,,,,,
15235,12425,Com Reinício de Prazo,,,,X,X,,,,,,,,,,,,,,,,,,
15238,11025,Homologação de Acordo ou Transação,,,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X
15244,3,Homologação de Acordo Parcial em Execução ou em Cumprimento de Sentença,,X,,X,X,X,X,,X,X,X,,,X,X,,,X,X,X,X,X,
15245,456,Unificação de Medida Socioeducativa,,,,X,,,,,,,,,,,,,,,,,,,
15246,12286,Não Confirmada,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
15247,25,Por Expedição de Precatório,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
15248,25,Por Expedição de RPV,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
15249,456,Morte do Adolescente/Socioeducando,,,,X,X,,,,,,,,,,,,,,,,,,
15250,456,Aplicação de Pena Privativa de Liberdade ao Adolescente/Socioeducando,,,,X,X,,,,,,,,,,,,,,,,,,
15251,15250,Condição de Doença Grave do Adolescente/Socioeducando,,,,X,X,,,,,,,,,,,,,,,,,,
15252,385,Extinção do processo de execução de medida socioeducativa em razão da perda do caráter pedagógico,,,,X,,,,,,,,,,,,,,,,,,,
15253,218,Concessão de Remissão a Adolescente com Extinção do Processo,,,,X,,,,,,,,,,,,,,,,,,,
15254,15253,Justiça Restaurativa,,,,X,,,,,,,,,,,,,,,,,,,
15255,15253,Sem Medida Socioeducativa,,,,X,,,,,,,,,,,,,,,,,,,
15256,15253,Liberdade Assistida,,,,X,,,,,,,,,,,,,,,,,,,
15257,15253,Prestação de Serviços à Comunidade,,,,X,,,,,,,,,,,,,,,,,,,
15258,15253,Reparação de Dano,,,,X,,,,,,,,,,,,,,,,,,,
15259,15253,Advertência,,,,X,,,,,,,,,,,,,,,,,,,
15260,218,Homologada a Remissão,,,,X,,,,,,,,,,,,,,,,,,,
15261,15260,Justiça Restaurativa,,,,X,,,,,,,,,,,,,,,,,,,
15262,15260,Sem Medida Socioeducativa,,,,X,,,,,,,,,,,,,,,,,,,
15263,15260,Liberdade Assistida,,,,X,,,,,,,,,,,,,,,,,,,
15264,15260,Prestação de Serviços à Comunidade,,,,X,,,,,,,,,,,,,,,,,,,
15265,15260,Reparação do Dano,,,,X,,,,,,,,,,,,,,,,,,,
15266,15260,Advertência,,,,X,,,,,,,,,,,,,,,,,,,
15322,973,Extinção da Pena - Cumprimento de Sursis,,,,X,X,,,,X,X,,,,X,X,X,X,,,,X,X,
15366,3,Acolhimento em Parte de Exceção de Pré-Executividade,,,,X,X,X,X,,X,X,X,,,X,X,,,X,X,X,,X,
15408,218,Não Conhecimento de Embargos de Declaração,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
15409,3,Não Conhecimento de Embargos de Declaração,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
15413,25,Ação Coletiva,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,,,X
15414,14974,Ação Coletiva,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,,,X
15415,25,Incidente de Resolução de Demandas Repetitivas do TST,,,,,,,,,,,,,,,,,,X,X,X,,,
15416,14974,Suspensão/Sobrestamento por Incidente de Resolução de Demandas Repetitivas do TST,,,,,,,,,,,,,,,,,,X,X,X,,,
15417,48,Migração de Sistema Eletrônico,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
15418,12765,Por Divergência de Entendimento com TST,,,,,,,,,,,,,,,,,,,X,X,,,
15419,12765,Por Divergência de Entendimento com TNU,,,X,,,,,,,,,X,X,,,,,,,,,,
15420,12198,Acolhimento de Proposta de Afetação,,,,,,,,,,,,,,,,,,,,X,,X,
15421,12198,Rejeição de Proposta de Afetação,,,,,,,,,,,,,,,,,,,,X,,X,
15422,12198,Suspensão para Submissão de Proposta de Afetação,,,,,,,,,,,,,,,,,,,,X,,,
15424,12477,Não Homologação de ANPP,,,,X,X,,,,X,X,,,,X,X,X,X,,,,X,X,
15425,25,Aguardando Apresentação ou Captura de Desertor,,,,X,X,,,,,,,,,X,X,X,X,,,,,,
15426,108,Captura ou Apresentação de Desertor,,,,X,X,,,,,,,,,X,X,X,X,,,,,,
15427,970,Audiência de Admoestação,,,,,,,,,,,,,,,X,,X,,,,,,
15486,817,Medida Protetiva da Lei Maria da Penha,,,,X,X,,,,,,,,,X,X,X,X,,,,X,X,
15487,888,Medida Protetiva da Lei Maria da Penha,,,,X,X,,,,,,,,,X,X,X,X,,,,X,X,
15488,968,Medida Protetiva da Lei Maria da Penha,,,,X,X,,,,,,,,,X,X,X,X,,,,X,X,
15489,157,Medida Protetiva da Lei Maria da Penha,,,,X,X,,,,,,,,,X,X,X,X,,,,X,X,
15490,3,Prorrogação de Medida Protetiva da Lei Maria da Penha,,,,X,X,,,,,,,,,X,X,X,X,,,,X,X,
15491,817,Medida Protetiva da Lei Henry Borel,,,,X,X,,,,,,,,,,,,,,,,X,X,
15492,888,Medida Protetiva da Lei Henry Borel,,,,X,X,,,,,,,,,,,,,,,,X,X,
15493,968,Medida Protetiva da Lei Henry Borel,,,,X,X,,,,,,,,,,,,,,,,X,X,
15494,157,Medida Protetiva da Lei Henry Borel,,,,X,X,,,,,,,,,,,,,,,,X,X,
15495,3,Prorrogação de Medida Protetiva da Lei Henry Borel,,,,X,X,,,,,,,,,,,,,,,,X,X,
15496,817,Medida de Proteção do Estatuto do Idoso,,,,X,X,,,,,,,,,,,,,,,,X,X,
15497,888,Medida de Proteção do Estatuto do Idoso,,,,X,X,,,,,,,,,,,,,,,,X,X,
15498,968,Medida de Proteção do Estatuto do Idoso,,,,X,X,,,,,,,,,,,,,,,,X,X,
15499,157,Medida de Proteção do Estatuto do Idoso,,,,X,X,,,,,,,,,,,,,,,,X,X,
