cdigo,cd_pai,nome,CJF,CNJ,FTR,JE1G,JE2G,JEFP,JEJE,JETR,JF1G,JF2G,JFJE,JFTNU,JFTRU,JME,JME1,JMU,JMU1,JT1G,JT2G,JTTST,STF,STJ,TEU
263,25,Réu revel citado por edital ,,,,X,X,,,,X,X,X,,,,,X,X,,,,,X,
264,25,Suspensão Condicional do Processo,,,,X,X,X,X,,X,X,X,,,X,X,,X,,,,,X,
265,25,Recurso Extraordinário com repercussão geral,,,X,X,X,,X,X,X,X,X,,X,X,,X,,X,X,X,X,X,X
266,7,Julgamento em Diligência,,,,X,,X,X,,X,,X,,,,,,,X,X,X,X,,
268,25,Morte ou perda da capacidade,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X
269,11,Impedimento ou Suspeição,,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
270,25,Convenção das Partes,,,X,X,X,X,X,X,X,X,X,,,,,,,X,X,X,,X,
271,25,"Exceção de Incompetência, suspeição ou Impedimento",,,X,X,X,X,X,X,X,X,X,X,X,,,,,X,X,X,,X,X
272,25,"A depender do julgamento de outra causa, de outro juízo ou declaração incidente",,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
275,25,Força maior,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X
276,25,Execução frustrada,,,,X,X,X,X,,X,X,X,,,X,X,,,X,X,X,,,
277,25,Convenção das Partes para Satisfação Voluntária da Obrigação em Execução ou Cumprimento de Sentença,,,,X,X,X,X,X,X,X,X,,,,,,,X,X,X,,X,
278,25,Recebimento de Embargos à Execução,,,,X,X,X,X,X,X,X,,,,,,,,,,,,X,
279,25,Incidente de Insanidade Mental,,,,X,X,X,X,X,X,X,X,,,,,,,,,,,X,
311,48,Leilão ou Praça,,,,X,X,X,X,,X,X,X,,,X,X,X,X,X,,,,X,
313,48,Sessão do Tribunal do Júri,,,,X,,,,,X,,,,,,,,,,,,,,
332,817,Tutela Provisória,,,,X,X,X,X,,X,X,,,,X,X,X,X,X,X,X,X,X,
334,968,Gratuidade da Justiça,,,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
335,133,de pré-executividade,,,,X,X,X,X,,X,X,X,,,X,X,,,X,X,X,,X,
339,817,Liminar,,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,
347,157,Tutela Provisória,,,,X,X,,,,X,X,,,,X,X,X,X,X,X,X,X,X,
348,157,Liminar,,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,
349,157,Gratuidade de Justiça,,,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,,,,X,X,X
352,108,Temporária,,,,X,X,,,,X,X,,,,X,X,X,X,,,,,X,
353,108,Preventiva,,,,X,X,,,,X,X,,,,X,X,X,X,,,,X,X,
354,113,Alimentos,,,,X,X,,,,,,,,,,,,,,,,,X,
355,113,Depositário infiel,,,,X,X,X,X,,X,X,X,,,X,X,,,X,X,X,,X,
357,122,Temporária,,,,X,X,,,,X,X,,,,X,X,X,X,,,,,X,
358,122,Preventiva,,,,X,X,,,,X,X,,,,X,X,X,X,,,,,X,
371,133,Incompetência,,,X,X,X,,,,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
373,138,Exceção de Impedimento ou Suspeição,,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,,X,X,X,X,X
374,138,Exceção de incompetência,,,X,X,X,,,,X,X,X,,X,X,X,X,X,X,X,X,X,X,X
377,378,Acordo em execução ou em cumprimento de sentença,,,,,,,,,,,,,,X,X,,,X,X,X,X,,
378,3,Homologação,,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,
381,151,Recurso,,,X,X,X,X,X,X,X,X,X,,,X,X,X,X,,,X,X,X,
383,151,Impugnação ao cumprimento de sentença,,,,X,X,X,X,,X,X,X,,,X,X,,,,,,,X,
385,193,Com Resolução do Mérito,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
388,160,Aditamento da denúncia,,,,X,X,,,,X,X,X,,,X,X,X,X,,,,X,X,
389,160,Aditamento da queixa,,,,X,X,X,X,,X,X,X,,,X,X,,,,,,X,X,
391,160,Denúncia,,,,X,X,X,X,,X,X,X,,,X,X,X,X,,,,X,X,
393,160,Queixa,,,,X,X,X,X,,X,X,X,,,X,X,,,,,,X,X,
394,1060,Com efeito suspensivo,,,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,,X,X,X,X,X
399,138,Aditamento da denúncia,,,,X,X,,,,X,X,X,,,X,X,X,X,,,,X,X,
400,138,Aditamento da queixa,,,,X,X,X,X,,X,X,X,,,X,X,,X,,,,X,X,
402,138,Denúncia,,,,X,X,X,X,,X,X,X,,,X,X,X,X,,,,X,X,
404,138,Queixa,,,,X,X,X,X,,X,X,X,,,X,X,X,X,,,,X,X,
417,48,Inclusão em pauta,,X,X,,X,,,X,,X,,,X,X,,X,,,X,X,X,X,X
429,206,Recurso extraordinário,,,X,X,X,,,X,X,X,,,,X,,X,,,,X,X,X,
430,206,Recurso especial,,,,,X,,,,,X,,,,X,,,,,,,,X,
431,206,Recurso de revista,,,,,,,,,,X,,,,,,,,,X,,,,
432,207,Recurso Extraordinário,,,X,X,X,,,X,X,X,,,,X,,X,,,,X,X,X,
433,207,Recurso Especial,,,,,X,,,,,X,,,,X,,,,,,,,,
434,207,Recurso de Revista,,,,,,,,,,X,,,,,,,,,X,,,,
442,210,Segurança,,,X,X,X,,,X,X,X,,,,X,X,X,,X,X,X,X,X,
