Código,Cód. Pai,Dispositivo legal,Artigo,Data de Publicação,Data de Alteração,Data de Inativação,Data de Reativação,nome,JMU1G
3638,3603,Lei 4.728/1965 e Lei 6.385/1976,73 e 74 (Lei 4.728/1965); 27-C a 27-E (Lei 6.385/1976),2008-09-30 15:52:52,,,,Crimes contra o mercado de capitais,X
3610,3603,Lei 6.538/78,Arts. 36 a 46,2008-09-30 15:52:52,,,,Crimes contra o Serviço Postal e o Serviço de Telegrama,X
3612,3603,Lei 7.492/86,Arts. 2º a 23,2008-09-30 15:52:52,,,,Crimes contra o Sistema Financeiro Nacional,X
11410,3603,Lei n. 7853/89,8º,2010-01-06 00:00:00,,,,Crimes contra portadores de deficiência,X
3642,3603,Lei 8.666/93,Arts. 89 a 98,2008-09-30 15:52:52,,,,Crimes da Lei de licitações,X
3643,3603,Lei 9.434/97,Arts. 14 a 20,2008-09-30 15:52:52,,,,Crimes da Lei de remoção de órgãos e tecidos,X
3628,3603,Lei 9.613/98,Art. 1º,2008-09-30 15:52:52,,,,"Crimes de ""Lavagem"" ou Ocultação de Bens, Direitos ou Valores",X
15397,3603,Lei 13.869/2019 e Lei 14.321/2022,9º a 38 (Lei 13.869/2019); 2º (Lei 14.321/2022),2024-07-31 09:30:28,,,,Crimes de Abuso de Autoridade (Lei 13.869/2019),X
3606,3603,Lei 4.898/65,arts. 3º e 4º,2008-09-30 15:52:52,2024-07-31 09:45:49,,,Crimes de Abuso de Autoridade (Lei 4.898/1965),X
3640,3603,Lei 2.889/56,Arts. 1º a 3º,2008-09-30 15:52:52,,,,Crimes de genocídio,X
3634,3603,Lei 5.250/67,Arts. 12 a 22,2008-09-30 15:52:52,,,,Crimes de Imprensa,X
15127,3603,Lei 7.716/1989,1º e 3º ao 14,2022-06-13 00:00:00,,,,Crimes de Preconceito,X
15132,15127,Lei 7.716/1989; Ação Direta de Inconstitucionalidade por Omissão (ADO) 26; Mandado de Injunção (MI) 4733,1º e 3º a 14,2022-06-13 00:00:00,2024-03-15 12:13:56,,,Intolerância e/ou Injúria por Identidade ou Expressão de Gênero,X
15131,15127,Lei 7.716/1989; Ação Direta de Inconstitucionalidade por Omissão (ADO) 26; Mandado de Injunção (MI) 4733,1º e 3º a 14,2022-06-13 00:00:00,2024-03-15 12:12:15,,,Intolerância e/ou Injúria por Orientação Sexual,X
15130,15127,Lei 7.716/1989,1º e 3º a 14,2022-06-13 00:00:00,2023-03-31 14:22:00,,,Intolerância e/ou Injúria por Procedência Nacional,X
15128,15127,Lei 7.716/1989,1º e 2º-A ao 14,2022-06-13 00:00:00,2023-03-31 14:18:00,,,"Intolerância e/ou Injúria Racial, de Cor e/ou Etnia",X
15129,15127,Lei 7.716/1989,1º e 3º a 14,2022-06-13 00:00:00,,,,Intolerância Religiosa,X
3604,3603,DL 201/67 e Lei 1.079/50,art. 1º,2008-09-30 15:52:52,,,,Crimes de Responsabilidade,X
3631,3603,Lei 9.455/97,art. 1º,2008-09-30 15:52:52,,,,Crimes de Tortura,X
3607,3603,Lei 11.343/06,,2008-09-30 15:52:52,,,,Crimes de Tráfico Ilícito e Uso Indevido de Drogas,X
5897,3607,Lei 11.343/06,35,2008-09-30 15:52:52,,,,Associação para a Produção e Tráfico e Condutas Afins,X
5899,3607,Lei 11343/06,37,2008-09-30 15:52:52,,,,"Colaboração com Grupo, Organização ou Associação Destinados à Produção ou Tráfico de Drogas ",X
5901,3607,Lei 11343/06,39,2008-09-30 15:52:52,,,,Condução de Embarcação ou Aeronave sob Efeito de Drogas,X
5894,3607,Lei 11.343/06,34,2008-09-30 15:52:52,,,,Fabricação de Objeto Destinado a Produção de Drogas e Condutas Afins ,X
5898,3607,Lei 11414/06,36,2008-09-30 15:52:52,,,,Financiamento ou Custeio de Produção ou Tráfico de Drogas,X
5895,3607,Lei 11343/06,"33, § 2º",2008-09-30 15:52:52,,,,"Indução, Instigação ou Auxílio ao Uso de Drogas",X
5896,3607,Lei 11343/06,"33, § 3º",2008-09-30 15:52:52,,,,Oferecimento de Drogas para Consumo Conjunto,X
5885,3607,Lei 11.343/06,Art 28,2008-09-30 15:52:52,,,,Posse de Drogas para Consumo Pessoal,X
10523,5885,,,2008-09-30 15:52:52,,,,Despenalização / Descriminalização,X
5900,3607,Lei 11343/06,38,2008-09-30 15:52:52,,,,Prescrição Culposa de Drogas,X
3608,3607,Lei 11.343/06,"Art. 33, caput e § 1º",2008-09-30 15:52:52,,,,Tráfico de Drogas e Condutas Afins,X
10987,3607,Lei 11.343/2006,40,2009-05-28 00:00:00,,,,Tráfico Ilícito de Drogas praticado por Funcionário Público,X
3632,3603,Lei 9.503/97,art.302 a 312,2008-09-30 15:52:52,,,,Crimes de Trânsito,X
3656,3603,Lei 4.117/62,"Arts. 56, 70, 72",2008-09-30 15:52:52,,,,Crimes do Código Brasileiro de Telecomunicações,X
3633,3603,Lei 10.826/03,Arts. 12 a 18,2008-09-30 15:52:52,,,,Crimes do Sistema Nacional de Armas,X
3654,3603,Lei 4.737/65,Arts. 289 a 354,2008-09-30 15:52:52,,,,Crimes Eleitorais,X
10826,3654,Código Eleitoral,art. 334,2008-09-30 15:52:52,,,,Aliciamento comercial de eleitores,X
10819,3654,Lei 6091/74,"artigo 11, III",2008-09-30 15:52:52,,,,Aliciamento de eleitores,X
10752,3654,Código Eleitoral,art. 302,2008-09-30 15:52:52,,,,Aliciamento eleitoral,X
10825,3654,Código Eleitoral,art. 301,2008-09-30 15:52:52,,,,Aliciamento violento de eleitores,X
